site,associated_accession,emma_latitude,emma_longitude,rep,height_av_culm_cm,height_tallest_culm_cm,tillers,flowering_culms,dry_weight_g,dry_weight_mg,dry_weight_kg,area_cm,area_m,SLA_m2_kg,LMA_g_m2,tussock_width_av_cm,plant_area_cm_sq,leaf_width_mm,leaf_length_cm,mean_A,mean_Ca,mean_Ci,mean_gsw,mean_RHcham,mean_Tleaf,mean_VPDleaf,mean_Rd,WUEi,Rmass,MAT,MeanDiurnalRange,Isothermality,TempSeasonality,MaxTempWarmestMonth,MinTempColdestMonth,TempAnnualRange,MeanTempWettestQuarter,MeanTempDriestQuarter,MeanTempWarmestQuarter,MeantempColdestQuarter,MAP,PrecipWettestMonth,PrecipDriestMonth,PrecipSeasonality,PrecipWettestQuarter,PrecipDriestQuarter,PrecipWarmestQuarter,PrecipColdestQuarter
Mid_Turnbull_Trail_NSW,Sydney_NSW,-33.445,150.826,3,75,93,27,14,NA,NA,NA,66.595,0.0066595,NA,NA,65,3318.30724,3.382,53.96,7.686600105,409.90485,173.2617899,0.055034912,50.23021796,29.99452333,2.308253966,1.378524915,139.6677093,NA,16.5,12.6,4.9,450.7,28.5,3,25.5,21.7,11.4,22,10.4,100.1,13.6,3.9,3.5,38.5,14.1,35.3,16.5
Mid_Turnbull_Trail_NSW,Sydney_NSW,-33.445,150.826,4,80,95,29,12,NA,NA,NA,54.923,0.0054923,NA,NA,70,3848.451001,3.428,39.84,10.41693799,409.8105957,113.9728472,0.058609955,57.02775798,30.07831882,2.08117699,1.649514187,177.7332549,NA,16.5,12.6,4.9,450.7,28.5,3,25.5,21.7,11.4,22,10.4,100.1,13.6,3.9,3.5,38.5,14.1,35.3,16.5
Mid_Turnbull_Trail_NSW,Sydney_NSW,-33.445,150.826,5,80,93,33,11,NA,NA,NA,58.879,0.0058879,NA,NA,90,6361.725124,3.626,47.34,9.803870177,410.0082747,171.0308871,0.069032223,58.77784321,29.96753538,1.955690163,1.669834147,142.0187515,NA,16.5,12.6,4.9,450.7,28.5,3,25.5,21.7,11.4,22,10.4,100.1,13.6,3.9,3.5,38.5,14.1,35.3,16.5
Mid_Turnbull_Trail_NSW,Sydney_NSW,-33.445,150.826,2,95,90,62,22,NA,NA,NA,41.23,0.004123,NA,NA,105,8659.014751,3.415,42.375,9.265627029,409.8830005,198.516929,0.075225373,50.11769016,29.90770613,2.315308334,1.921250586,123.1715664,NA,16.5,12.6,4.9,450.7,28.5,3,25.5,21.7,11.4,22,10.4,100.1,13.6,3.9,3.5,38.5,14.1,35.3,16.5
Mitchell_Ck_NT,NA,-12.5115,130.996271,1,126,166,27,14,0.381,381,0.000381,66.657,0.0066657,17.49527559,57.15828795,90,6361.725124,5.056,36.4,7.096933295,406.3718667,209.3919623,0.060842828,65.28081764,30.16247,1.722721311,1.30910428,116.6437122,74.82615937,27.4,10.3,6,169.5,34.5,17.5,17,28.1,24.8,29.2,24.8,156.9,38.1,0.1,10.6,102.1,0.6,42.9,0.6
Mitchell_Ck_NT,NA,-12.5115,130.996271,2,130,150,55,9,0.416,416,0.000416,80.206,0.0080206,19.28028846,51.86644391,130,13273.22896,4.842,41.4,10.93627388,403.9122419,248.6679294,0.122065717,62.39142542,29.9472,1.74385657,1.323858834,89.5933287,68.66384996,27.4,10.3,6,169.5,34.5,17.5,17,28.1,24.8,29.2,24.8,156.9,38.1,0.1,10.6,102.1,0.6,42.9,0.6
Mitchell_Ck_NT,NA,-12.5115,130.996271,3,150,200,27,23,0.427,427,0.000427,76.232,0.0076232,17.8529274,56.01322279,135,14313.88153,5.916,34.686,5.487384938,406.8878667,301.0782408,0.092780147,64.26370831,29.96129333,1.70936452,1.190589286,59.14395609,66.68874295,27.4,10.3,6,169.5,34.5,17.5,17,28.1,24.8,29.2,24.8,156.9,38.1,0.1,10.6,102.1,0.6,42.9,0.6
Mitchell_Ck_NT,NA,-12.5115,130.996271,4,160,185,41,21,0.355,355,0.000355,59.227,0.0059227,16.68366197,59.93887923,82.5,5345.61625,5.188,32.48,18.43850505,400.2275806,174.1865295,0.137998872,63.80794931,29.8789129,1.691163707,1.668215353,133.6134471,99.99095856,27.4,10.3,6,169.5,34.5,17.5,17,28.1,24.8,29.2,24.8,156.9,38.1,0.1,10.6,102.1,0.6,42.9,0.6
Mitchell_Ck_NT,NA,-12.5115,130.996271,5,162,186,24,11,0.363,363,0.000363,62.381,0.0062381,17.18484848,58.19079527,115,10386.89071,5.428,32.62,6.786763543,406.2846,316.6490737,0.139024198,63.30757408,29.94767333,1.683091147,1.175220734,48.81713861,68.38702912,27.4,10.3,6,169.5,34.5,17.5,17,28.1,24.8,29.2,24.8,156.9,38.1,0.1,10.6,102.1,0.6,42.9,0.6
Mt_Coolon_QLD,Mt_Coolon_QLD,-21.405778,147.350768,3,100,122,15,6,0.319,319,0.000319,62.916,0.0062916,19.72288401,50.702524,60,2827.433388,3.66,40,10.86666361,404.1430323,227.8668477,0.105549223,68.32765155,31.31347645,1.635105213,1.705046325,102.9535158,86.45015221,22.4,13.4,5.2,409,33.6,8.2,25.4,26.9,17.9,26.9,16.5,59.3,12,1,6.9,30.6,4.6,30.6,5.4
Mt_Coolon_QLD,Mt_Coolon_QLD,-21.405778,147.350768,2,100,112,22,12,0.23,230,0.00023,48.509,0.0048509,21.09086957,47.41388196,80,5026.548246,3.756,33.18,9.666531125,404.6365323,241.8060869,0.102389739,67.48483598,31.39641452,1.672418588,1.580089233,94.40917833,74.91816439,22.4,13.4,5.2,409,33.6,8.2,25.4,26.9,17.9,26.9,16.5,59.3,12,1,6.9,30.6,4.6,30.6,5.4
Mt_Coolon_QLD,Mt_Coolon_QLD,-21.405778,147.350768,1,105,125,38,10,0.253,253,0.000253,53.17,0.005317,21.01581028,47.58322362,75,4417.864669,3.08,36.45,14.13621968,402.4773871,203.1244621,0.121008395,64.66088352,31.25618065,1.765254871,1.198794567,116.8201566,57.04250998,22.4,13.4,5.2,409,33.6,8.2,25.4,26.9,17.9,26.9,16.5,59.3,12,1,6.9,30.6,4.6,30.6,5.4
Mt_Coolon_QLD,Mt_Coolon_QLD,-21.405778,147.350768,4,110,138,17,8,0.258,258,0.000258,50.227,0.0050227,19.46782946,51.36679475,50,1963.495408,2.948,35.5,12.80901842,403.2026613,211.2936481,0.113628027,70.14131359,31.24405645,1.553104915,1.713401456,112.7276325,88.01194094,22.4,13.4,5.2,409,33.6,8.2,25.4,26.9,17.9,26.9,16.5,59.3,12,1,6.9,30.6,4.6,30.6,5.4
Mt_Coolon_QLD,Mt_Coolon_QLD,-21.405778,147.350768,5,110,128,16,5,0.217,217,0.000217,47.737,0.0047737,21.99861751,45.45740202,60,2827.433388,3.432,32.58,12.99378153,403.1332167,202.3643971,0.110041369,71.00267451,31.11494667,1.521798051,1.354558958,118.0808783,61.5747311,22.4,13.4,5.2,409,33.6,8.2,25.4,26.9,17.9,26.9,16.5,59.3,12,1,6.9,30.6,4.6,30.6,5.4
Mt_Fox_QLD,Mt Fox N Park_QLD,-19.001291,145.473311,5,50,80,31,3,0.135,135,0.000135,32.639,0.0032639,24.17703704,41.36156132,55,2375.829444,3.068,24.5,19.4503137,397.7968065,160.7661604,0.138480881,75.65948613,33.90409355,1.475127137,1.77338944,140.4548673,73.35015606,22.9,12.2,5.5,343.2,32.8,10.7,22.1,26.1,18,26.6,18,71,18.1,0.8,9.4,43.2,2.7,41.8,2.7
Mt_Fox_QLD,Mt Fox N Park_QLD,-19.001291,145.473311,4,80,100,26,7,0.196,196,0.000196,41.462,0.0041462,21.15408163,47.27220105,50,1963.495408,3.27,29.92,16.19754883,399.7292258,196.0328509,0.136735317,73.22157006,33.85127581,1.58278603,2.60226126,118.4591458,123.0146175,22.9,12.2,5.5,343.2,32.8,10.7,22.1,26.1,18,26.6,18,71,18.1,0.8,9.4,43.2,2.7,41.8,2.7
Mt_Fox_QLD,Mt Fox N Park_QLD,-19.001291,145.473311,1,90,105,18,6,0.169,169,0.000169,34.136,0.0034136,20.19881657,49.50785095,52.5,2164.753688,2.98,27.22,19.70933839,398.0025747,214.1586547,0.189845928,58.99473979,31.03775086,1.787343806,1.896590484,103.817546,93.896119,22.9,12.2,5.5,343.2,32.8,10.7,22.1,26.1,18,26.6,18,71,18.1,0.8,9.4,43.2,2.7,41.8,2.7
Mt_Fox_QLD,Mt Fox N Park_QLD,-19.001291,145.473311,2,95,103,27,8,0.19,190,0.00019,44.11,0.004411,23.21578947,43.07413285,72.5,4128.249096,3.286,31.32,18.29271469,398.3025726,240.3624886,0.230172064,78.09705528,31.75196597,1.158234466,2.066771096,79.47408737,89.02437278,22.9,12.2,5.5,343.2,32.8,10.7,22.1,26.1,18,26.6,18,71,18.1,0.8,9.4,43.2,2.7,41.8,2.7
Mt_Fox_QLD,Mt Fox N Park_QLD,-19.001291,145.473311,3,100,111,19,9,0.165,165,0.000165,37.988,0.0037988,23.0230303,43.43476887,60,2827.433388,3.412,28.78,16.57576709,399.4739,220.2933706,0.158130316,75.69341029,33.44359333,1.389816946,2.121073025,104.8234618,92.12831663,22.9,12.2,5.5,343.2,32.8,10.7,22.1,26.1,18,26.6,18,71,18.1,0.8,9.4,43.2,2.7,41.8,2.7
Palm_Valley_NT,Palm_Valley_NT,-24.057,132.763,3,60,70,33,3,0.149,149,0.000149,30.335,0.0030335,20.3590604,49.11818032,20,314.1592654,3.02,22.36,7.219433305,401.7346753,199.6210305,0.064028617,29.13991809,34.38752746,3.841526813,NA,112.7532294,NA,20.6,15.9,4.8,608.2,36.2,3.2,33,27.8,14.3,27.8,12.3,29.4,3.6,1.2,3.3,10.4,4.3,10.4,4.9
Palm_Valley_NT,Palm_Valley_NT,-24.057,132.763,4,60,80,60,6,0.111,111,0.000111,23.773,0.0023773,21.41711712,46.69162495,40,1256.637061,3.125,20.825,5.27417067,403.9084355,215.4099262,0.050623269,28.46910146,33.61149677,3.801388532,NA,104.1847115,NA,20.6,15.9,4.8,608.2,36.2,3.2,33,27.8,14.3,27.8,12.3,29.4,3.6,1.2,3.3,10.4,4.3,10.4,4.9
Palm_Valley_NT,Palm_Valley_NT,-24.057,132.763,5,60,70,70,12,0.143,143,0.000143,29.9,0.00299,20.90909091,47.82608696,40,1256.637061,3.67,23.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,15.9,4.8,608.2,36.2,3.2,33,27.8,14.3,27.8,12.3,29.4,3.6,1.2,3.3,10.4,4.3,10.4,4.9
Palm_Valley_NT,Palm_Valley_NT,-24.057,132.763,2,70,90,80,10,0.185,185,0.000185,37.044,0.0037044,20.02378378,49.94061117,45,1590.431281,2.888,30.92,4.509502956,404.6062113,263.0596658,0.059733827,30.53162127,31.98928543,3.385055771,NA,75.49328749,NA,20.6,15.9,4.8,608.2,36.2,3.2,33,27.8,14.3,27.8,12.3,29.4,3.6,1.2,3.3,10.4,4.3,10.4,4.9
Palm_Valley_NT,Palm_Valley_NT,-24.057,132.763,1,70,90,100,7,0.261,261,0.000261,55.018,0.0055018,21.07969349,47.43901996,25,490.8738521,3.35,36,5.443816033,403.9378914,196.6224576,0.046004474,28.67684685,30.36269527,3.204115643,NA,118.3323173,NA,20.6,15.9,4.8,608.2,36.2,3.2,33,27.8,14.3,27.8,12.3,29.4,3.6,1.2,3.3,10.4,4.3,10.4,4.9
Pannawonica_WA,Pannawonica_WA,-21.637977,116.334303,3,80,90,30,5,NA,NA,NA,38.443,0.0038443,NA,NA,39,1194.590607,4.0875,25.75,7.695674304,405.829871,229.5823196,0.075561088,55.82744788,30.98800323,2.171847763,1.240137237,101.8470552,NA,26.6,15,5.3,476.2,40,12,28,31.8,26.8,32,20,34.2,7.7,0.2,8.6,20.1,1.1,16,6.1
Pannawonica_WA,Pannawonica_WA,-21.637977,116.334303,5,90,100,32,9,NA,NA,NA,75.118,0.0075118,NA,NA,60,2827.433388,4.038,41.28,7.839302444,405.8152581,234.839125,0.079634776,55.40551752,30.89168387,2.181735855,1.407494594,98.44069223,NA,26.6,15,5.3,476.2,40,12,28,31.8,26.8,32,20,34.2,7.7,0.2,8.6,20.1,1.1,16,6.1
Pannawonica_WA,Pannawonica_WA,-21.637977,116.334303,1,100,115,41,13,NA,NA,NA,47.984,0.0047984,NA,NA,45,1590.431281,3.526,31.52,11.66090778,403.6073468,214.466066,0.106352404,54.78086513,31.27810726,2.171734362,2.177133727,109.6440446,NA,26.6,15,5.3,476.2,40,12,28,31.8,26.8,32,20,34.2,7.7,0.2,8.6,20.1,1.1,16,6.1
Pannawonica_WA,Pannawonica_WA,-21.637977,116.334303,4,110,130,40,11,NA,NA,NA,51.559,0.0051559,NA,NA,65,3318.30724,3.824,29.26,7.625969976,405.7509,287.7373752,0.117451732,55.18235579,30.71921,2.141321088,2.087113334,64.92854414,NA,26.6,15,5.3,476.2,40,12,28,31.8,26.8,32,20,34.2,7.7,0.2,8.6,20.1,1.1,16,6.1
Pannawonica_WA,Pannawonica_WA,-21.637977,116.334303,2,125,152,35,16,NA,NA,NA,53.49,0.005349,NA,NA,72.5,4128.249096,4.4,30.48,7.225702345,406.0774333,208.8434442,0.062782873,54.87304453,31.18903667,2.226226068,1.47253676,115.0903419,NA,26.6,15,5.3,476.2,40,12,28,31.8,26.8,32,20,34.2,7.7,0.2,8.6,20.1,1.1,16,6.1
Powranna_TAS,Nile_TAS,-41.69833333,147.2380556,3,40,51.2,84,11,0.1299,129.9,0.0001299,25.45,0.002545,19.59199384,51.04125737,42.5,1418.625433,3.474,15.78,13.37355524,399.1958435,182.3623981,0.107015232,53.58494157,32.01208355,2.438534768,2.527875277,124.9687074,129.0259326,11.5,11.1,5.1,354.6,23.4,1.8,21.6,7.6,16,16,6.9,60.4,6.7,3.1,1.8,18.4,11.7,11.7,17.6
Powranna_TAS,Nile_TAS,-41.69833333,147.2380556,1,40,47.7,15,2,0.2921,292.1,0.0002921,56.216,0.0056216,19.24546388,51.960296,36,1017.87602,4.468,25.7,7.485810528,403.7563333,153.6621647,0.051972862,7.567947056,29.98345833,3.904684705,1.810916245,144.033063,94.09574415,11.5,11.1,5.1,354.6,23.4,1.8,21.6,7.6,16,16,6.9,60.4,6.7,3.1,1.8,18.4,11.7,11.7,17.6
Powranna_TAS,Nile_TAS,-41.69833333,147.2380556,5,45,52.1,21,14,0.1528,152.8,0.0001528,29.688,0.0029688,19.42931937,51.46860684,25,490.8738521,3.698,17.54,10.2263427,401.6804543,208.5132045,0.091641342,55.09457346,32.07739505,2.418414065,2.108253503,111.5909318,108.5088707,11.5,11.1,5.1,354.6,23.4,1.8,21.6,7.6,16,16,6.9,60.4,6.7,3.1,1.8,18.4,11.7,11.7,17.6
Powranna_TAS,Nile_TAS,-41.69833333,147.2380556,4,45,59.5,92,3,0.2487,248.7,0.0002487,45.267,0.0045267,18.20144753,54.94068527,37.5,1104.466167,3.652,26.52,9.759664896,402.1368871,138.8194499,0.062817047,53.72501785,33.68226129,2.745967246,2.121422273,155.3665018,116.5523934,11.5,11.1,5.1,354.6,23.4,1.8,21.6,7.6,16,16,6.9,60.4,6.7,3.1,1.8,18.4,11.7,11.7,17.6
Powranna_TAS,Nile_TAS,-41.69833333,147.2380556,2,50,72.1,29,2,0.2156,215.6,0.0002156,41.741,0.0041741,19.36038961,51.65185309,33.5,881.4130889,3.48,25.3,9.853474546,402.2664839,90.49262398,0.052349615,56.67474465,29.98964839,2.025016633,2.036307729,188.2243939,105.1790677,11.5,11.1,5.1,354.6,23.4,1.8,21.6,7.6,16,16,6.9,60.4,6.7,3.1,1.8,18.4,11.7,11.7,17.6
Powranna_TAS,Nile_TAS,-41.69833333,147.2380556,6,65,95,35,18,0.1799,179.9,0.0001799,42.22,0.004222,23.46859366,42.61013738,47.5,1772.054606,4.064,22.98,10.97953568,401.304329,196.910765,0.093239993,66.66492044,30.15378,1.693228706,2.320774639,117.755647,98.88852617,11.5,11.1,5.1,354.6,23.4,1.8,21.6,7.6,16,16,6.9,60.4,6.7,3.1,1.8,18.4,11.7,11.7,17.6
Rainbow_Valley_NT,Rainbow_Valley_NT,-24.235,133.459,3,60,90,80,1,0.234,234,0.000234,40.418,0.0040418,17.27264957,57.89499728,55,2375.829444,3.618,25.5,12.48441313,400.1552903,154.0511084,0.092240956,74.04849965,32.68543871,1.549538629,NA,135.345661,NA,20.9,16,4.8,613.7,36.8,3.5,33.3,28.2,14.6,28.2,12.6,26.2,3.5,1,3.8,9.8,3.6,9.8,4.1
Rainbow_Valley_NT,Rainbow_Valley_NT,-24.235,133.459,5,70,90,145,7,0.25,250,0.00025,44.611,0.0044611,17.8444,56.03999014,85,5674.501731,3.188,32.14,6.768502266,402.6812093,214.3897857,0.061812759,78.14707012,39.66121093,2.016408383,3.009516243,109.5000843,168.6532605,20.9,16,4.8,613.7,36.8,3.5,33.3,28.2,14.6,28.2,12.6,26.2,3.5,1,3.8,9.8,3.6,9.8,4.1
Rainbow_Valley_NT,Rainbow_Valley_NT,-24.235,133.459,1,70,100,180,8,0.372,372,0.000372,57.861,0.0057861,15.55403226,64.29201016,75,4417.864669,3.662,35.02,10.46848696,400.5337,39.06137472,0.047566115,72.0518238,30.03349167,1.50109567,2.426856617,220.0828676,156.0274903,20.9,16,4.8,613.7,36.8,3.5,33.3,28.2,14.6,28.2,12.6,26.2,3.5,1,3.8,9.8,3.6,9.8,4.1
Rainbow_Valley_NT,Rainbow_Valley_NT,-24.235,133.459,4,80,707,90,3,0.5,500,5.00E-04,73.449,0.0073449,14.6898,68.07444621,75,4417.864669,4.328,40.48,7.854630694,401.6363226,197.3699655,0.065312083,80.04102855,39.26061613,1.848901836,NA,120.263056,NA,20.9,16,4.8,613.7,36.8,3.5,33.3,28.2,14.6,28.2,12.6,26.2,3.5,1,3.8,9.8,3.6,9.8,4.1
Rainbow_Valley_NT,Rainbow_Valley_NT,-24.235,133.459,2,90,100,50,7,0.429,429,0.000429,69.001,0.0069001,16.08414918,62.17301199,70,3848.451001,3.8225,49.075,18.75956188,393.5502833,15.2364413,0.081276848,77.10852793,30.18695833,1.252729262,2.798820709,230.8106477,174.0111135,20.9,16,4.8,613.7,36.8,3.5,33.3,28.2,14.6,28.2,12.6,26.2,3.5,1,3.8,9.8,3.6,9.8,4.1
The_Lynd_Junction_QLD,The_Lynd_Junction_QLD,-18.97806,144.682176,4,59,60,51,5,0.429,429,0.000429,67.459,0.0067459,15.72470862,63.59418313,30,706.8583471,4.238,36.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,13.5,5.6,357.1,33.5,9.6,23.9,25.8,18.8,26.5,17.6,74.4,18.5,0.5,10,47.7,1.9,34.4,2.1
The_Lynd_Junction_QLD,The_Lynd_Junction_QLD,-18.97806,144.682176,2,76,86,32,4,0.22,220,0.00022,49.295,0.0049295,22.40681818,44.62927275,35,962.1127502,4.206,26.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,13.5,5.6,357.1,33.5,9.6,23.9,25.8,18.8,26.5,17.6,74.4,18.5,0.5,10,47.7,1.9,34.4,2.1
The_Lynd_Junction_QLD,The_Lynd_Junction_QLD,-18.97806,144.682176,5,90,93,54,11,0.194,194,0.000194,41.214,0.0041214,21.2443299,47.07138351,50,1963.495408,3.35,28.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,13.5,5.6,357.1,33.5,9.6,23.9,25.8,18.8,26.5,17.6,74.4,18.5,0.5,10,47.7,1.9,34.4,2.1
The_Lynd_Junction_QLD,The_Lynd_Junction_QLD,-18.97806,144.682176,1,95,99,51,14,0.152,152,0.000152,36.192,0.0036192,23.81052632,41.99823165,52.5,2164.753688,4.606,18.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,13.5,5.6,357.1,33.5,9.6,23.9,25.8,18.8,26.5,17.6,74.4,18.5,0.5,10,47.7,1.9,34.4,2.1
The_Lynd_Junction_QLD,The_Lynd_Junction_QLD,-18.97806,144.682176,3,105,117,49,7,0.211,211,0.000211,44.137,0.0044137,20.91800948,47.8056959,55,2375.829444,4.05,24.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,13.5,5.6,357.1,33.5,9.6,23.9,25.8,18.8,26.5,17.6,74.4,18.5,0.5,10,47.7,1.9,34.4,2.1
Woodstock_Rd_QLD,Woodstock_road_QLD,-19.6156,147.961153,5,80,106,99,38,0.271,271,0.000271,59.667,0.0059667,22.01734317,45.41874068,85,5674.501731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woodstock_Rd_QLD,Woodstock_road_QLD,-19.6156,147.961153,3,90,124,84,26,0.174,174,0.000174,47.355,0.0047355,27.21551724,36.74374406,55,2375.829444,NA,NA,17.4787948,400.7269156,199.1923952,0.149375125,74.745102,31.35107812,1.338981286,2.133465493,117.0127543,78.39151003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woodstock_Rd_QLD,Woodstock_road_QLD,-19.6156,147.961153,2,100,105,102,17,0.163,163,0.000163,42.354,0.0042354,25.98404908,38.48514898,65,3318.30724,NA,NA,19.22408463,399.4318102,226.0054561,0.193577947,69.16714414,31.66419613,1.525559946,1.307503504,99.30927019,50.31946715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woodstock_Rd_QLD,Woodstock_road_QLD,-19.6156,147.961153,1,110,126,109,21,0.177,177,0.000177,43.003,0.0043003,24.29548023,41.15991908,65,3318.30724,NA,NA,19.86583714,399.3056651,208.096018,0.182632907,67.13151385,31.41383672,1.619812574,1.106488614,108.774686,45.54298179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woodstock_Rd_QLD,Woodstock_road_QLD,-19.6156,147.961153,4,125,148,71,31,0.209,209,0.000209,53.307,0.0053307,25.50574163,39.20685839,45,1590.431281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
